alt,en,es
🇨🇷,Costa Rica,Costa Rica
🇨🇺,Cuba,Cuba
🇨🇻,Cape Verde,Cabo Verde
🇨🇼,Curaçao,Curazao
🇨🇽,Christmas Island,Isla de Navidad
🇨🇾,Cyprus,Chipre
🇨🇿,Czechia,Czechia
🇩🇪,Germany,Alemania
🇩🇬,Diego Garcia,Diego Garcia
🇩🇯,Djibouti,Djibouti
🇩🇰,Denmark,Dinamarca
🇩🇲,Dominica,Dominica
🇩🇴,Dominican Republic,República Dominicana
🇩🇿,Algeria,Argelia
🇪🇦,Ceuta & Melilla,Ceuta y Melilla
🇪🇨,Ecuador,Ecuador
🇪🇪,Estonia,Estonia
🇪🇬,Egypt,Egipto
🇪🇭,Western Sahara,Sahara Occidental
🇪🇷,Eritrea,Eritrea
🇪🇸,Spain,España
🇪🇹,Ethiopia,Etiopía
🇪🇺,European Union,Unión Europea
🇫🇮,Finland,Finlandia
🇫🇯,Fiji,Fiyi
🇫🇰,Falkland Islands,Islas Malvinas
🇫🇲,Micronesia,Micronesia
🇫🇴,Faroe Islands,Islas Faroe
🇫🇷,France,Francia
🇬🇦,Gabon,Gabón
🇬🇧,United Kingdom,Reino Unido
🇬🇩,Grenada,Granada
🇬🇪,Georgia,Georgia
🇬🇫,French Guiana,Guayana Francesa
🇬🇬,Guernsey,Guernsey
🇬🇭,Ghana,Ghana
🇬🇮,Gibraltar,Gibraltar
🇬🇱,Greenland,Tierra Verde
🇬🇲,Gambia,Gambia
🇬🇳,Guinea,Guinea
🇬🇵,Guadeloupe,Guadalupe
🇬🇶,Equatorial Guinea,Guinea Ecuatorial
🇬🇷,Greece,Grecia
🇬🇸,South Georgia & South Sandwich Islands,Islas Georgias del Sur y Sandwich del Sur
🇬🇹,Guatemala,Guatemala
🇬🇺,Guam,Guam
🇬🇼,Guinea-Bissau,Guinea-Bissau
🇬🇾,Guyana,Guayana
🇭🇰,Hong Kong SAR China,Hong Kong SAR China
🇭🇲,Heard & McDonald Islands,Islas Heard y McDonald
🇭🇳,Honduras,Honduras
🇭🇷,Croatia,Croacia
🇭🇹,Haiti,Haití
🇭🇺,Hungary,Hungría
🇮🇨,Canary Islands,Islas Canarias
🇮🇩,Indonesia,Indonesia
🇮🇪,Ireland,Irlanda
🇮🇱,Israel,Israel
🇮🇲,Isle of Man,Isla del hombre
🇮🇳,India,India
🇮🇴,British Indian Ocean Territory,Territorio Británico del Océano Índico
🇮🇶,Iraq,Irak
🇮🇷,Iran,Corrí
🇮🇸,Iceland,Islandia
🇮🇹,Italy,Italia
🇯🇪,Jersey,Jersey
🇯🇲,Jamaica,Jamaica
🇯🇴,Jordan,Jordán
🇯🇵,Japan,Japón
🇰🇪,Kenya,Kenia
🇰🇬,Kyrgyzstan,Kirguistán
🇰🇭,Cambodia,Camboya
🇰🇮,Kiribati,Kiribati
🇰🇲,Comoros,Comoras
🇰🇳,St. Kitts & Nevis,San Cristóbal y Nieves
🇰🇵,North Korea,Corea del Norte
🇰🇷,South Korea,Corea del Sur
🇰🇼,Kuwait,Kuwait
🇰🇾,Cayman Islands,Islas Caimán
🇰🇿,Kazakhstan,Kazakhstan
🇱🇦,Laos,Laos
🇱🇧,Lebanon,Líbano
🇱🇨,St. Lucia,Santa Lucía
🇱🇮,Liechtenstein,Liechtenstein
🇱🇰,Sri Lanka,Sri Lanka
🇱🇷,Liberia,Liberia
🇱🇸,Lesotho,Lesoto
🇱🇹,Lithuania,Lituania
🇱🇺,Luxembourg,Luxemburgo
🇱🇻,Latvia,Letonia
🇱🇾,Libya,Libia
🇲🇦,Morocco,Marruecos
🇲🇨,Monaco,Mónaco
🇲🇩,Moldova,Moldavia
🇲🇪,Montenegro,Montenegro
🇲🇫,St. Martin,San Martín
🇲🇬,Madagascar,Madagascar
🇲🇭,Marshall Islands,Islas Marshall
🇲🇰,Macedonia,macedonia
🇲🇱,Mali,Mali
🇲🇲,Myanmar (Burma),Myanmar (Birmania)
🇲🇳,Mongolia,Mongolia
🇲🇴,Macau SAR China,Región Administrativa Especial de Macao
🇲🇵,Northern Mariana Islands,Islas Marianas del Norte
🇲🇶,Martinique,Martinica
🇲🇷,Mauritania,Mauritania
🇲🇸,Montserrat,Montserrat
🇲🇹,Malta,Malta
🇲🇺,Mauritius,Mauricio
🇲🇻,Maldives,Maldivas
🇲🇼,Malawi,Malawi
🇲🇽,Mexico,Méjico
🇲🇾,Malaysia,Malasia
🇲🇿,Mozambique,Mozambique
🇳🇦,Namibia,Namibia
🇳🇨,New Caledonia,Nueva Caledonia
🇳🇪,Niger,Níger
🇳🇫,Norfolk Island,Isla Norfolk
🇳🇬,Nigeria,Nigeria
🇳🇮,Nicaragua,Nicaragua
🇳🇱,Netherlands,Países Bajos
🇳🇴,Norway,Noruega
🇳🇵,Nepal,Nepal
🇳🇷,Nauru,Nauru
🇳🇺,Niue,Niue
🇳🇿,New Zealand,Nueva Zelanda
🇴🇲,Oman,Omán
🇵🇦,Panama,Panamá
🇵🇪,Peru,Perú
🇵🇫,French Polynesia,Polinesia francés
🇵🇬,Papua New Guinea,Papúa Nueva Guinea
🇵🇭,Philippines,Filipinas
🇵🇰,Pakistan,Pakistán
🇵🇱,Poland,Polonia
🇵🇲,St. Pierre & Miquelon,San Pedro y Miquelón
🇵🇳,Pitcairn Islands,Islas Pitcairn
🇵🇷,Puerto Rico,Puerto Rico
🇵🇸,Palestinian Territories,territorios palestinos
🇵🇹,Portugal,Portugal
🇵🇼,Palau,Palau
🇵🇾,Paraguay,Paraguay
🇶🇦,Qatar,Katar
🇷🇪,Réunion,Reunión
🇷🇴,Romania,Rumania
🇷🇸,Serbia,Serbia
🇷🇺,Russia,Rusia
🇷🇼,Rwanda,Ruanda
🇸🇦,Saudi Arabia,Arabia Saudita
🇸🇧,Solomon Islands,Islas Salomón
🇸🇨,Seychelles,Seychelles
🇸🇩,Sudan,Sudán
🇸🇪,Sweden,Suecia
🇸🇬,Singapore,Singapur
🇸🇭,St. Helena,Santa Helena
🇸🇮,Slovenia,Eslovenia
🇸🇯,Svalbard & Jan Mayen,Svalbard y Jan Mayen
🇸🇰,Slovakia,Eslovaquia
🇸🇱,Sierra Leone,Sierra Leona
🇸🇲,San Marino,San Marino
🇸🇳,Senegal,Senegal
🇸🇴,Somalia,Somalia
🇸🇷,Suriname,Suriname
🇸🇸,South Sudan,Sudán del Sur
🇸🇹,São Tomé & Príncipe,Santo Tomé y Príncipe
🇸🇻,El Salvador,El Salvador
🇸🇽,Sint Maarten,Sint Maarten
🇸🇾,Syria,Siria
🇸🇿,Swaziland,Swazilandia
🇹🇦,Tristan da Cunha,Tristan da Cunha
🇹🇨,Turks & Caicos Islands,Islas Turcas y Caicos
🇹🇩,Chad,Chad
🇹🇫,French Southern Territories,Territorios Franceses del Sur
🇹🇬,Togo,Ir
🇹🇭,Thailand,Tailandia
🇹🇯,Tajikistan,Tayikistán
🇹🇰,Tokelau,Tokelau
🇹🇱,Timor-Leste,Timor Oriental
🇹🇲,Turkmenistan,Turkmenistán
🇹🇳,Tunisia,Túnez
🇹🇴,Tonga,Tonga
🇹🇷,Turkey,Turquía
🇹🇹,Trinidad & Tobago,Trinidad y Tobago
🇹🇻,Tuvalu,Tuvalu
🇹🇼,Taiwan,Taiwan
🇹🇿,Tanzania,Tanzania
🇺🇦,Ukraine,Ucrania
🇺🇬,Uganda,Uganda
🇺🇲,U.S. Outlying Islands,Islas periféricas de los Estados Unidos
🇺🇳,United Nations,Naciones Unidas
🇺🇸,United States,Estados Unidos
🇺🇾,Uruguay,Uruguay
🇺🇿,Uzbekistan,Uzbekistán
🇻🇦,Vatican City,Ciudad del Vaticano
🇻🇨,St. Vincent & Grenadines,San Vicente y las Granadinas
🇻🇪,Venezuela,Venezuela
🇻🇬,British Virgin Islands,Islas Vírgenes británicas
🇻🇮,U.S. Virgin Islands,Islas Vírgenes de EE.UU
🇻🇳,Vietnam,Vietnam
🇻🇺,Vanuatu,Vanuatu
🇼🇫,Wallis & Futuna,Wallis y Futuna
🇼🇸,Samoa,Samoa
🇽🇰,Kosovo,Kosovo
🇾🇪,Yemen,Yemen
🇾🇹,Mayotte,Mayotte
🇿🇦,South Africa,Sudáfrica
🇿🇲,Zambia,Zambia
🇿🇼,Zimbabwe,Zimbabue
🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,Inglaterra
🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland,Escocia
🏴󠁧󠁢󠁷󠁬󠁳󠁿,Wales,Gales
