alt,en,es
🥡,takeout box,caja de comida para llevar
🦀,crab,cangrejo
🦐,shrimp,camarón
🦑,squid,calamar
🍦,ice-cream,helado
🍧,icecream,helado
🍨,ice cream,helado
🍩,doughnut,rosquilla
🍪,cookie,Galleta
🎂,birthday cake,pastel de cumpleaños
🍰,shortcake,torta de frutas
🥧,pie,tarta
🍫,chocolate bar,barra de chocolate
🍬,candy,caramelo
🍭,lollipop,chupete
🍮,custard,lactoso
🍯,honey pot,tarro de miel
🍼,baby bottle,biberón
🥛,glass of milk,vaso de leche
🍵,teacup,taza
🍶,sake,motivo
🍾,bottle popping cork,botella que estalla el corcho
🍷,wine glass,Copa de vino
🍺,beer,cerveza
🍻,beer,cerveza
🥂,clinking glasses,vidrios tintineantes
🥤,straw,sorbete
🥢,chopsticks,palillos
🍽,eat,comer
🍴,fork and knife,tenedor y cuchillo
🥄,spoon,cuchara
🔪,kitchen knife,cuchillo
🏺,amphora,ánfora
🌍,globe showing Europe-Africa,globo que muestra Europa-África
🌎,globe showing Americas,globo que muestra las Américas
🌏,globe showing Asia-Australia,globo que muestra Asia-Australia
🌐,globe meridians,meridianos del globo
🗺,world map,mapa del mundo
🗾,map of Japan,mapa de Japón
🏔,snow-capped,nieve
🗻,mount fuji,Monte Fuji
🏖,beach,playa
🏜,desert,Desierto
🏝,desert island,isla desierta
🏞,national park,parque Nacional
🏟,stadium,estadio
🏛,classical building,edificio clásico
🏗,building construction,Construcción de edificio
🏢,office building,edificio de oficinas
🏣,Japanese post office,Oficina de correos japonesa
🏤,post office,oficina postal
🏥,hospital,hospital
🏦,bank,banco
🏨,hotel,hotel
🏩,love hotel,Hotel del amor
🏪,convenience store,tienda de conveniencia
🏫,school,colegio
🏬,department store,almacenes
🏯,Japanese castle,Castillo japonés
🏰,castle,castillo
💒,wedding,Boda
🗼,Tokyo tower,Torre de Tokio
🗽,Statue of Liberty,Estatua de la Libertad
⛪,church,Iglesia
🕌,mosque,mezquita
🕍,synagogue,sinagoga
⛩,shinto shrine,Santuario sintoísta
🕋,kaaba,Kaaba
⛺,tent,tienda
🌁,foggy,brumoso
🌃,night stars,estrellas nocturnas
🏙,cityscape,paisaje urbano
🌄,sunrise,sol
🌅,sunrise,amanecer
🎠,carousel horse,carrusel de caballos
🎡,ferris wheel,noria
🎢,fair,feria
💈,barber pole,poste de peluquero
🎪,circus tent,tienda de circo
🚂,locomotive,locomotora
🚃,railway car,vagón de ferrocarril
🚅,bullet train,tren bala
🚆,train,tren
🚇,metro,metro
🚉,station,estación
🚊,tram,tranvía
🚝,monorail,monocarril
🚞,mountain railway,ferrocarril de montaña
🚋,tram car,tranvía
🚌,bus,autobús
🚍,oncoming bus,bus que se aproxima
🚎,trolleybus,trolebús
🚐,minibus,microbús
🚑,ambulance,ambulancia
🚒,fire engine,camion de bomberos
🚓,police car,coche de policía
🚔,oncoming police car,coche de policía que se aproxima
🚕,taxi,taxi
🚗,automobile,automóvil
🚘,oncoming automobile,automóvil que se aproxima
🚙,sport utility vehicle,vehículo utilitario deportivo
🚚,delivery truck,camión de reparto
🚛,articulated lorry,camión articulado
🚜,tractor,tractor
🏎,racing car,coche de carreras
🏍,motorcycle,motocicleta
🛵,motor scooter,motor de scooter
🚲,bicycle,bicicleta
🛴,kick scooter,patinete
🚏,bus,autobús
🛣,motorway,autopista
🛤,railway track,vía de ferrocarril
⛽,fuel pump,bomba de combustible
🚨,police car light,luz del coche de la policía
🚥,horizontal traffic light,semáforo horizontal
🚦,vertical traffic light,semáforo vertical
🛑,stop sign,señal de stop
🚧,construction,construcción
⚓,anchor,ancla
⛵,sailboat,velero
🛶,canoe,canoa
🚤,speedboat,lancha rápida
🛳,passenger ship,buque de pasajeros
⛴,ferry,transportar
🛥,motor boat,lancha
🚢,ship,enviar
✈,airplane,avión
🛩,airplane,avión
🛫,airplane,avión
🛬,airplane,avión
🚁,helicopter,helicóptero
🚟,suspension railway,ferrocarril de suspensión
🚠,mountain cableway,teleférico de montaña
🚡,aerial tramway,teleférico
🛰,satellite,satélite
🚀,rocket,cohete
🛸,flying saucer,Platillo volador
🛎,bellhop bell,campana
⌛,hourglass done,reloj de arena hecho
⏳,hourglass not done,reloj de arena no hecho
⏰,alarm clock,despertador minutos hora segundos
⏱,stopwatch,cronógrafo minutos hora segundos
🕰,mantelpiece clock,reloj
🌙,crescent moon,Luna
🌚,new moon,Luna
🌛,first quarter moon,luna
🌜,last quarter moon,luna
🌡,thermometer,termómetro
☀,sun,sol
🌞,sun,sol
⭐,star,estrella
🌟,glowing star,estrella brillante
🌠,shooting star,estrella fugaz
☁,cloud,nube
⛅,sun behind cloud,sol detrás de la nube
⛈,cloud lightning and rain,nube de rayos y lluvia
🌤,sun cloud,nube de sol
🌥,sun cloud,nube de sol
🌦,sun cloud,nube de sol
🌧,cloud rain,lluvia de nubes
🌨,cloud snow,nube de nieve
🌩,cloud lightning,nube de rayos
🌫,fog,niebla
🌬,wind,viento
🌀,cyclone,ciclón
🌈,rainbow,arco iris
🌂,closed umbrella,paraguas cerrado
☂,umbrella,paraguas
☔,umbrella rain drops,gotas de lluvia paraguas
⚡,high voltage,Alto voltaje
❄,snowflake,copo de nieve
☃,snowman,monigote de nieve
⛄,snowman without snow,muñeco de nieve sin nieve
☄,comet,cometa
🔥,fire,fuego
💧,droplet,gotita
🌊,water wave,ola de agua
🎃,jack-o-lantern,Jack-o-lantern
🎄,Christmas tree,árbol de Navidad
🎇,sparkler,bengala
✨,sparkles,destellos
🎈,balloon,globo
🎉,party popper,aguafiestas
🎊,confetti,confeti
🎋,tanabata tree,árbol tanabata
🎍,pine decoration,decoración de pino
🎎,Japanese dolls,Muñecas japonesas
🎏,carp streamer,streamer de la carpa
🎐,wind chime,carillón de viento
🎑,moon viewing ceremony,ceremonia de la luna
🎀,ribbon,cinta
🎁,wrapped gift,regalo envuelto
🎗,reminder ribbon,cinta de recordatorio
🎟,admission tickets,boletos de admisión
🎫,ticket,boleto
🎖,military medal,medalla militar
🏆,trophy,trofeo
🏅,sports medal,medalla deportiva
⚽,soccer,fútbol
⚾,baseball,béisbol
🏀,basketball,baloncesto
🏐,volleyball,voleibol
🏈,football,fútbol
🏉,rugby football,rugby fútbol
🎾,tennis,tenis
🎳,bowling,bolos-juego
🏏,cricket game,juego de cricket
🏑,field hockey,hockey sobre hierba
🏓,ping pong,ping pong
🏸,badminton,bádminton
🥊,boxing glove,guante de boxeo
🥋,martial arts uniform,uniforme de artes marciales
⛳,flag in hole,bandera en el agujero
⛸,ice skate,patinar sobre hielo
🎣,fishing pole,caña de pescar
🎽,running shirt,camisa de correr
🎿,skis,esquís
🛷,sled,trineo
🥌,curling stone,piedra que se encrespa
🎯,direct hit,golpe directo
🎱,pool,billar
🔮,crystal,cristal
🎮,video game,videojuego
🕹,joystick,palanca de mando
🎰,slot machine,casino
🎲,game die,juego morir
♠,spade suit,traje de espada
♥,heart suit,traje de corazón
♦,diamond suit,traje de diamantes
♣,club suit,traje de club
♟,⊛ chess pawn,⊛ peón de ajedrez
🃏,joker,bromista
🎴,flower playing cards,naipes de flores
🎭,performing arts,las artes escénicas
🖼,framed picture,Foto enmarcada
🎨,artist palette,paleta de artistas
👓,glasses,gafas
🕶,sunglasses,Gafas de sol
👔,necktie,corbata
👕,t-shirt,camiseta
👖,jeans,pantalones
🧣,scarf,bufanda
🧤,gloves,guantes
🧦,socks,calcetines
👗,dress,vestir
👘,kimono,kimono
👙,bikini,bikini
👚,woman’s clothes,ropa de mujer
👛,purse,bolso
👜,handbag,bolso
👝,clutch bag,bolso de embrague
🛍,shopping bags,bolsas de compra
🎒,backpack,mochila
👞,man’s shoe,zapato de hombre
👟,running shoe,Zapatos para correr
👡,woman’s sandal,sandalia de mujer
👑,crown,corona
👒,woman’s hat,sombrero de mujer
🎩,hat,sombrero
🎓,graduation cap,gorro de graduación
⛑,rescue,rescate
📿,prayer beads,Rosario
💄,lipstick,labial
💍,ring,anillo
💎,gem stone,piedra gema
🔈,speaker,altavoz
🔉,speaker,altavoz
🔊,speaker,altavoz
📢,loudspeaker,altoparlante
📣,megaphone,megáfono
📯,postal horn,cuerno postal
🔔,bell,campana
🎼,musical score,puntuación musical
🎵,musical note,nota musical
🎶,musical notes,notas musicales
🎙,studio microphone,micrófono de estudio
🎚,level slider,deslizador de nivel
🎛,control knobs,perillas de control
🎤,microphone,micrófono
🎧,headphone,auricular
📻,radio,radio
🎷,saxophone,saxofón
🎸,guitar,guitarra
🎹,musical keyboard,teclado musical
🎺,trumpet,trompeta
🎻,violin,violín
🥁,drum,tambor
📱,mobile phone,telefono
☎,telephone,teléfono
📞,telephone receiver,receptor de teléfono
📟,pager,buscapersonas
🔋,battery,batería
🔌,electric plug,Enchufe electrico
💻,laptop computer,ordenador portátil
🖥,desktop computer,computadora de escritorio
🖨,printer,impresora
⌨,keyboard,teclado
🖱,computer mouse,ratón de computadora
🖲,trackball,trackball
💽,computer disk,disco de la computadora
💿,disk,cd disco
📀,dvd,DVD
🧮,⊛ abacus,⊛ ábaco
🎥,movie,cine
🎞,cine,cine
📽,cine,cine
🎬,clapper board,tablero de chapaleta
📺,television,televisión
📷,video,video
📹,video,video
📼,videocassette,videocasetera
🔍,magnifying glass tilted left,lupa inclinada a la izquierda
🔎,magnifying glass tilted right,lupa inclinada derecha
🕯,candle,vela
💡,light bulb,bombilla
🔦,flashlight,flash
📔,notebook,cuaderno
📕,closed book,libro cerrado
📖,open book,libro abierto
📗,green book,libro Verde
📘,blue book,libro Azul
📓,notebook,cuaderno
📃,page curl,curl de la página
📜,scroll,voluta
📄,page facing up,página hacia arriba
📰,newspaper,periódico
🗞,rolled-up newspaper,periódico enrollado
📑,bookmark tabs,pestañas de marcadores
🔖,bookmark,marcador
🏷,label,etiqueta
💰,money bag,bolsa de dinero
💴,yen banknote,yen
💵,dollar banknote,dinero
💶,euro banknote,euros
💳,credit card,tarjeta de crédito
💲,heavy dollar sign,dinero
✉,envelope,carta
📧,e-mail,correo electrónico
📦,package,paquete
📫,closed mailbox raised flag,buzón
📪,closed mailbox lowered flag,el buzón
📬,open mailbox raised flag,abrir el buzón
📭,open mailbox lowered flag,abrir el buzón
📮,postbox,buzón
🗳,ballot box ballot,boleta electoral
🖊,pen,lapiz
🖌,paintbrush,Cepillo de pintura
🖍,crayon,color
📝,memo,memorándum
💼,briefcase,maletín
📁,file folder,carpeta de archivos
📂,open file folder,abrir la carpeta de archivos
📅,calendar,calendario
📆,calendar,calendario
🗒,spiral notepad,Bloc de notas en espiral
🗓,spiral calendar,calendario espiral
📇,card index,fichero
📈,chart increasing,tabla creciente
📉,chart decreasing,disminución de la tabla
📊,chart,grafico
📋,clipboard,portapapeles
📌,pushpin,chincheta
📍,round pushpin,chincheta redonda
📎,paperclip,clip
🖇,linked paperclips,sujetapapeles vinculados
📏,straight ruler,regla recta
📐,triangular ruler,regla triangular
✂,scissors,tijeras
🗃,card file box,caja de archivo de tarjeta
🗄,file cabinet,archivador
🗑,wastebasket,papelera
